代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
4960,1208,12492,9,2,11,81.82,0.05771818181818181,38.54545454545455
6197,7400,54400,22,5,27,81.48,0.06357777777777777,33.0
3232,2254,15546,15,4,19,78.95,0.04758421052631578,12.105263157894736
4540,3632,24388,10,3,13,76.92,0.03644615384615385,23.76923076923077
6177,1825,12735,10,3,13,76.92,0.04695384615384615,34.84615384615385
3529,23448,140952,10,3,13,76.92,0.0515,14.692307692307692
6240,1776,20204,12,4,16,75.0,0.07044375,11.25
6111,5494,39046,15,5,20,75.0,0.054310000000000004,21.55
3311,11350,39250,24,8,32,75.0,0.052259375,24.46875
4142,2744,15956,12,4,16,75.0,0.03934375,29.375
3323,3080,14270,12,4,16,75.0,0.036756250000000004,35.875
5483,13186,75464,22,8,30,73.33,0.04767666666666665,20.1
3675,2655,8095,11,4,15,73.33,0.02555333333333333,33.333333333333336
5263,14428,95072,8,3,11,72.73,0.051918181818181815,20.90909090909091
4974,2584,21366,8,3,11,72.73,0.04741818181818181,34.90909090909091
4716,3443,21027,24,9,33,72.73,0.041460606060606066,25.545454545454547
1783,1887,13313,8,3,11,72.73,0.05886363636363636,29.454545454545453
3081,17871,158129,8,3,11,72.73,0.05413636363636364,14.090909090909092
3011,1508,9622,16,6,22,72.73,0.04474545454545455,27.636363636363637
2540,1219,12421,8,3,11,72.73,0.023372727272727267,33.72727272727273
1786,6143,38557,13,5,18,72.22,0.04368333333333333,20.38888888888889
3035,6539,43511,18,7,25,72.0,0.036904,24.88
6235,3916,4324,23,9,32,71.88,0.030621875,23.03125
2504,1990,7130,20,8,28,71.43,0.03516785714285715,38.714285714285715
3218,7407,89193,17,7,24,70.83,0.045837499999999996,32.541666666666664
3390,3532,26918,17,7,24,70.83,0.053625,38.416666666666664
5531,3626,19634,19,8,27,70.37,0.03301481481481481,29.037037037037038
2481,3875,11975,19,8,27,70.37,0.04951481481481482,19.77777777777778
