契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202211W5,13000,Call,-,-,-,-,1520,-,-,0,0,0,0,1440,1540,-,-
TXO,202211W5,13000,Put,1,1,0.1,0.4,0.4,▼-0.4,▼-50.00%,33,118,151,794,0.2,0.7,18,0.1
TXO,202211W5,13100,Call,-,-,-,-,1420,-,-,0,0,0,0,1340,1440,-,-
TXO,202211W5,13100,Put,1.1,1.1,0.4,0.4,0.4,▼-0.6,▼-60.00%,63,8,71,313,0.2,0.7,20,0.4
TXO,202211W5,13200,Call,-,-,-,-,1320,-,-,0,0,0,0,1240,1340,-,-
TXO,202211W5,13200,Put,1.2,1.3,0.4,0.4,0.4,▼-0.8,▼-66.67%,6,60,66,511,0.2,0.7,25,0.4
TXO,202211W5,13300,Call,-,-,-,-,1220,-,-,0,0,0,0,1140,1240,-,-
TXO,202211W5,13300,Put,0.6,0.6,0.4,0.4,0.4,▼-1,▼-71.43%,13,10,23,158,0.4,0.7,13.5,0.4
TXO,202211W5,13400,Call,-,-,-,-,1120,-,-,0,0,0,0,1040,1140,-,-
TXO,202211W5,13400,Put,1.7,1.7,0.5,0.5,0.5,▼-1,▼-66.67%,16,29,45,325,0.4,0.7,30,0.5
TXO,202211W5,13500,Call,-,-,-,-,1020,-,-,0,0,0,0,935,1040,-,-
TXO,202211W5,13500,Put,1.5,2,0.5,0.8,0.5,▼-0.9,▼-52.94%,44,45,89,542,0.4,0.9,42.5,0.5
TXO,202211W5,13600,Call,-,-,-,-,920,-,-,0,0,0,2,840,935,1040,940
TXO,202211W5,13600,Put,1.6,2.3,0.6,0.6,0.6,▼-1.5,▼-71.43%,297,86,383,1543,0.5,1.3,52,0.6
TXO,202211W5,13700,Call,855,860,855,860,820,▼-190,▼-18.10%,0,8,8,8,740,890,1000,855
TXO,202211W5,13700,Put,2,3,0.6,0.6,0.6,▼-1.6,▼-72.73%,200,417,617,2706,0.5,1.3,67,0.6
TXO,202211W5,13800,Call,-,-,-,-,720,-,-,0,0,0,11,640,735,970,705
TXO,202211W5,13800,Put,2.4,3.9,1,1,1,▼-1.8,▼-64.29%,283,1018,1301,4162,1,1.9,83,1
TXO,202211W5,13900,Call,690,720,625,720,620,▼-130,▼-15.29%,0,9,9,12,535,635,925,540
TXO,202211W5,13900,Put,4.5,5,1.2,1.2,1.2,▼-2,▼-62.50%,249,1901,2150,3562,0.8,2.4,100,0.1
TXO,202211W5,14000,Call,615,615,540,540,520,▼-210,▼-28.00%,0,14,14,21,437,605,800,499
TXO,202211W5,14000,Put,5.3,7.3,2,3.6,3.6,▼-0.2,▼-5.26%,1226,3190,4416,6664,3.5,3.7,115,2
TXO,202211W5,14050,Call,510,510,458,458,472,▼-247,▼-35.04%,0,8,8,4,388,550,515,458
